database,source_id,pmid,pmcid,doi,title,abstract,authors,journal,year,record_url,nct_id,overall_status,databases_found,dedup_key
PubMed/MEDLINE,41129575,41129575,PMC12617573,10.4103/lungindia.lungindia_127_25,Circulating tumour DNA as a predictive biomarker for tumour response and prolonged clinical benefit with nivolumab in advanced non-small cell lung cancer.,"Immune checkpoint inhibitors (ICIs) have revolutionised the treatment of advanced non-small cell lung cancer (NSCLC). Quantitative monitoring of disease burden may prove predictive in these cases. We hypothesised that serial ctDNA molecular response assessment may be predictive of response to nivolumab. 44 NSCLC patients who received nivolumab were included. All the patients underwent response assessment by RECIST every four cycles. Peripheral blood samples were obtained at baseline and after four cycles of therapy, and the quantification of ctDNA was performed by qubit dsDNA HS assay. A variant allele fraction (VAF) of >0.3% was considered to be used for tracking. A cut-off change of 50% in VAF and ctDNA was considered for molecular response. Radiological evaluations were performed at baseline and every four cycles as per RECIST 1.1 criteria. The median ctDNA concentration was higher in patients with time to progression (TTP) of <4 months (P = 0.05). Detectable alterations with >0.3% VAF were detected in 31 patients, and a molecular response of >50% was observed in patients with PR, stable disease (SD) and two patients with PD. The patients with <50%molecular response had a median PFS of 3.9 months vs. those with >50% had a median of 5.8 months (P = 0.06). A cut of 0.3 ng/microlitre baseline ctDNA concentration was predictive of PFS. This is an initial experience from India using liquid biopsy next-generation sequencing (NGS) for dynamic monitoring in immunotherapy-treated patients. A 50% cut-off for response as well as a baseline ctDNA 0f 0.3 ng/microlitre showed a trend for better PFS in these patients. This study highlights the need for serial monitoring. To our knowledge, this is among the first real-world Indian studies validating serial NGS-based ctDNA monitoring in immunotherapy-treated NSCLC. It demonstrates feasibility, predictive value, and real-world applicability in a lower-middle-income context.",Batra U; Sharma M; Nathany S; Sachdeva R; Batra V; Venkataraman P; Dewan A; Choudhary S; Mehta A,Lung India : official organ of Indian Chest Society,2025,https://pubmed.ncbi.nlm.nih.gov/41129575/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:41129575
PubMed/MEDLINE,40983343,40983343,PMC12458711,10.1136/jitc-2025-012454,Molecular response cutoffs and ctDNA collection timepoints influence on interpretation of associations between early changes in ctDNA and overall survival in patients treated with anti-PD(L)1 and/or chemotherapy.,"Circulating tumor DNA (ctDNA) is a promising intermediate end point for oncology drug development, potentially accelerating regulatory approvals by providing early insights into treatment response. However, challenges remain in standardizing ctDNA assessment, including optimal blood collection timing and defining molecular response (MR) cutoffs. The ctDNA for Monitoring Treatment Response (ctMoniTR) project, led by Friends of Cancer Research, aggregates patient-level data from clinical trials to evaluate associations between ctDNA changes and overall survival (OS). This analysis included four randomized clinical trials of patients with advanced non-small cell lung cancer (aNSCLC) treated with either anti-programmed death (ligand) 1 (anti-PD(L)1) therapy (with or without chemotherapy) or chemotherapy alone. MR was assessed using three predefined per cent-change thresholds in ctDNA levels (≥50% decrease, ≥90% decrease, and 100% clearance). ctDNA samples were analyzed at two timepoints: an early window (T1, up to 7 weeks post-treatment initiation) and a later window (T2, 7-13 weeks post-treatment initiation). Multivariable Cox proportional hazards models and time-dependent analyses were used to evaluate associations between ctDNA changes and OS. A total of 918 patients were included. In the anti-PD(L)1 group, ctDNA reductions at both T1 and T2 were significantly associated with improved OS across all MR thresholds. In the chemotherapy group, associations were weaker at T1 but became more pronounced at T2. Patients with MR at both T1 and T2 had the strongest OS associations. Overall, the results suggest that T2 had marginally stronger association with OS than T1. This study supports the potential of ctDNA as an intermediate end point in aNSCLC, with MR at both early (T1) and later (T2) timepoints showing significant associations with OS. Differences in ctDNA dynamics between treatment modalities highlight the importance of considering the timing of blood collection. Further research is needed to determine the optimal time window for assessing ctDNA response. Prospective trials and trial-level meta-analyses will be critical to validating ctDNA as a regulatory-grade intermediate end point for oncology drug development.",Andrews HS; Zariffa N; Nishimura KK; Deng Y; Eisele M; Ensor J; Espenschied C; Fabrizio D; Goren EM; Haddad V; Liu MC; Modi D; Moesta AK; Quinn KJ; Rosenthal A; Vega DM; Zou W; Hoering A; Stewart M; Allen J,Journal for immunotherapy of cancer,2025,https://pubmed.ncbi.nlm.nih.gov/40983343/,,,"[""PubMed/MEDLINE""]",pmid:40983343
PubMed/MEDLINE,40944710,40944710,PMC12433424,10.1007/s00262-025-04086-0,High baseline PD-1+ CD8 T Cells and TIGIT+ CD8 T Cells in circulation associated with response to PD-1 blockade in patients with non-small cell lung cancer.,"Blockade of PD-1 or its ligand PD-L1 with antibodies revolutionized treatment for stage III and IV non-small cell lung cancer (NSCLC) since FDA approval in 2015. However, resistance to PD-1/PD-L1 blockade remains a challenge, highlighting the need for biomarkers. This study analyzed 36 stage III and IV NSCLC patients, classified as responders or non-responders by iRECIST criteria. Peripheral blood mononuclear cells collected at baseline and post-treatment were examined for surface and intracellular markers via flow cytometry. CITE sequencing of CD8 T cells from three patients and plasma ctDNA analysis from 13 patients was performed using an ultrasensitive barcoding and next-generation sequencing method. Phenotypic analysis of CD8 T cells revealed higher TIGIT and PD-1 expression at baseline in responders compared to non-responders. Long-term responders (> 21 months) exhibited increased TCF-1+PD-1+ CD8 T cell frequencies relative to shorter-term responders (> 15 months) and non-responders. CITE sequencing revealed intrinsic differences in immune regulation pathways between responders and non-responders. Finally, non-responders showed elevated and increasing ctDNA levels post-treatment, correlating with declining TCF-1+PD-1+ CD8 T cells. Our data suggests combining CD8 T cell analysis with ctDNA dynamics could identify promising biomarkers for monitoring clinical response and treatment efficacy to PD-1/PD-L1 blockade in NSCLC.",Dutta N; Svensson J; Saad GA; Mello M; Eklund EA; Altinönder I; Torstensson P; Sayin VI; Rohlin A; Luche H; Hallqvist A; Raghavan S,"Cancer immunology, immunotherapy : CII",2025,https://pubmed.ncbi.nlm.nih.gov/40944710/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:40944710
PubMed/MEDLINE,40893177,40893177,PMC12396422,10.1016/j.jtocrr.2025.100877,Brief Report: Prospective Trial of Pembrolizumab Monotherapy in Metastatic NSCLC Evaluating Circulating Tumor DNA as a Surrogate Biomarker of Response.,"Immune checkpoint inhibitors provide clinical benefit to a subset of patients with metastatic NSCLC, yet the reliable prediction of long-term outcomes remains challenging. We conducted a prospective phase 2 clinical trial to evaluate circulating tumor DNA (ctDNA) as a surrogate biomarker for early clinical response to pembrolizumab monotherapy (NCT02955758). Tumor-informed targeted sequencing of pretreatment and early on-treatment plasma ctDNA in 25 patients with metastatic NSCLC was performed. On-treatment ctDNA response, defined as at least a threefold ctDNA variant allele frequency decrease after three cycles of pembrolizumab versus baseline, was able to predict with 100%, 66%, and 100% accuracy partial response, stable disease, and progressive disease radiologic response, respectively. Molecular response was also correlated with progression-free survival. This study confirms the potential clinical utility of early on-treatment ctDNA-based response evaluation in patients treated with immune checkpoint inhibitors, creating the opportunity for early treatment intervention in nonresponders.",van 't Erve I; Blanchard I; Pagtama JY; Holmes Tisch AJ; Alizadeh AA; Ramchandran K; Wakelee HA; Padda SK; Diehn M; Neal JW,JTO clinical and research reports,2025,https://pubmed.ncbi.nlm.nih.gov/40893177/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:40893177
PubMed/MEDLINE,40746669,40746669,PMC12311516,10.1016/j.jtocrr.2025.100829,"Real-World Validity of Tissue-Agnostic Circulating Tumor DNA Response Monitoring in Lung Cancers Treated With Chemotherapy, Immunotherapy, or Targeted Agents.","Circulating tumor DNA (ctDNA) monitoring is emerging as a minimally invasive complement to tumor imaging. We evaluated the validity of tissue-agnostic ctDNA quantification across four treatment modalities in NSCLC and SCLC. Data from consenting patients were collected from electronic health records as part of the Prospective Clinico-Genomic study (NCT04180176). ctDNA tumor fraction (TF) was retrospectively calculated for plasma collected six to 15 weeks after therapy initiation. TF dynamics were compared among an exploratory cohort, NSCLC and SCLC validity cohorts, and by therapy class. In on-treatment plasma, undetectable TF was associated with longer real-world progression-free survival and real-world overall survival in exploratory (21.8 versus 8.8 mo; hazard ratio [HR] = 0.35, 95% confidence interval [CI]: 0.24-0.50), validity NSCLC (23.5 versus 9.5 mo; HR = 0.34, 95% CI: 0.22-0.53), and validity SCLC (15.9 versus 8.3 mo; HR = 0.19, 95% CI: 0.08-0.42) cohorts. Equal to or greater than 90% and equal to or greater than 50% TF reduction from baseline was also associated with significantly improved outcomes. ctDNA dynamics differed by treatment class: TF reported greater discriminatory power for selecting tumor responses to immunotherapy and targeted therapy (≥50% decrease in 91% of responders versus 24% of nonresponders) than chemotherapy and chemo-immunotherapy (86% versus 60%). TF dynamics correlated with outcomes, but models of real-world progression-free survival and real-world overall survival were improved when tumor response was included. Tissue-agnostic monitoring of molecular response on the basis of ctDNA TF dynamics has utility in the real-world setting across four different treatment regimens. These results suggest that ctDNA dynamics may be complementary to tumor imaging in both NSCLC and SCLC to better inform patient care.",Chiang AC; Madison RW; Assaf ZJ; Fine A; Cao Y; Gjoerup O; Huang Y; Jin DX; Hughes J; Antic V; Young A; Fabrizio D; Shames D; Maund S; Exarchos A; Lakhanpal S; Zuniga R; Pasquina LW; Schulze K,JTO clinical and research reports,2025,https://pubmed.ncbi.nlm.nih.gov/40746669/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:40746669
PubMed/MEDLINE,40940723,40940723,PMC12428656,10.3390/cells14171312,Utility and Future Perspectives of Circulating Tumor DNA Analysis in Non-Small Cell Lung Cancer Patients in the Era of Perioperative Chemo-Immunotherapy.,"Perioperative/neoadjuvant chemo-immunotherapy is a standard treatment for patients with resectable non-small cell lung cancer (NSCLC). However, several key clinical questions remain unresolved, including the monitoring of tumor response during neoadjuvant treatment, detection of residual disease after neoadjuvant treatment or after surgery, stratification of recurrence risk, and earlier detection of disease recurrence. Circulating tumor DNA (ctDNA) has emerged as a promising biomarker to address these challenges. Data from several recent clinical trials of perioperative/neoadjuvant chemo-immunotherapy demonstrated that ctDNA clearance before surgery was associated with higher rates of major pathological response. Additionally, landmark ctDNA positivity after surgery identified patients at high risk of disease recurrence, and longitudinal ctDNA monitoring enabled earlier detection of recurrence compared with radiographic surveillance. Several ongoing trials are incorporating ctDNA as a biomarker to guide treatment decisions, including optimizing the duration of neoadjuvant therapy, evaluating the need for surgery, and tailoring adjuvant strategies. These trials, together with further development of ctDNA detection technologies, will clarify the role of ctDNA analysis in refining perioperative treatment strategies and may ultimately enable individualized care in patients with resectable NSCLC. In this review, we discuss the current research data on ctDNA analysis in NSCLC in this era of perioperative chemo-immunotherapy.",Ohara S; Suda K; Tsutani Y,Cells,2025,https://pubmed.ncbi.nlm.nih.gov/40940723/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:40940723
PubMed/MEDLINE,40869405,40869405,PMC12386807,10.3390/ijms26168087,Cell-Free DNA Based Next-Generation Sequencing Does Not Differentiate Between Oligoprogression and Systemic Progression in Non-Small Cell Lung Cancer Patients Treated with Immune Checkpoint Inhibitors-An Explorative Study.,"Immune checkpoint inhibitors (ICIs) are a key treatment for advanced non-small cell lung cancer (NSCLC), but most patients will ultimately experience disease progression due to acquired resistance to ICI. Clinically, it is relevant to differentiate between systemic progression (SP) and oligoprogression (OP). Following SP, ICI treatment is usually discontinued, while in OP, patients are preferably treated with local ablative treatment with continuation of the ICI treatment. However, with progressive disease, it remains difficult to differentiate between true OP or SP. Circulating tumor DNA (ctDNA) analysis provides an accurate real-time reflection of the tumor burden. It remains elusive if ctDNA abundance and/or dynamics can discriminate between OP and SP. Therefore, the aim of this exploratory cohort study is to evaluate whether the sequential molecular tumor profiling of ctDNA is suitable for discriminating between true OP and SP in advanced NSCLC. Patients with stage III/IV NSCLC showing progression after ≥3 months of ICI were included. OP was defined retrospectively by RECIST response ≥ 6 months after local treatment and continued ICIs. Serial plasma samples were analyzed using the AVENIO ctDNA Expanded NGS assay targeting 77 cancer-related genes. Twenty patients (6 OP, 14 SP) were included. Somatic alterations were detected in 16 patients (median 4 mutations). No significant differences in baseline ctDNA levels, changes at progression, or mutation patterns were observed between OP and SP. Although ctDNA levels generally decreased early after the start of ICI treatment, and were increased at disease progression, mutational profiles of the 77 genes using the AVENIO Expanded ctDNA panel did not distinguish OP from SP.",Rozendal P; Kievit H; van der Leest P; Bahce I; Pegtel M; Groen HJM; van Kempen LC; Hiltermann TJN; Schuuring E,International journal of molecular sciences,2025,https://pubmed.ncbi.nlm.nih.gov/40869405/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:40869405
PubMed/MEDLINE,40454642,40454642,,10.1056/nejmoa2502931,Overall Survival with Neoadjuvant Nivolumab plus Chemotherapy in Lung Cancer.,"Neoadjuvant nivolumab plus chemotherapy significantly improved pathological complete response and event-free survival in patients with resectable non-small-cell lung cancer (NSCLC) in a phase 3 trial. Data are needed on overall survival. In this open-label, phase 3 trial, patients with stage IB to IIIA resectable NSCLC were randomly assigned to receive nivolumab plus chemotherapy or chemotherapy alone for three cycles, followed by surgery. The primary end points were event-free survival and pathological complete response. Here, we report the results of the planned analysis of overall survival. A total of 358 patients were concurrently assigned to receive nivolumab plus chemotherapy (179 patients) or chemotherapy alone (179 patients). The final analysis of overall survival significantly favored neoadjuvant nivolumab plus chemotherapy over chemotherapy (hazard ratio for death, 0.72; 95% confidence interval [CI], 0.523 to 0.998; P = 0.048). At a median follow-up of 68.4 months, the 5-year overall survival was 65.4% with nivolumab plus chemotherapy and 55.0% with chemotherapy alone, with consistency across most subgroups. In exploratory analyses, the 5-year overall survival in the nivolumab-plus-chemotherapy group was 95.3% (95% CI, 82.7 to 98.8) among the patients with a pathological complete response and 55.7% (95% CI, 46.9 to 63.7) among those without such a response; survival was 75.0% among the patients with presurgery clearance of circulating tumor DNA (ctDNA) and 52.6% among those without such clearance. No new safety signals were observed. Three cycles of neoadjuvant nivolumab plus chemotherapy significantly improved overall survival among patients with resectable NSCLC as compared with chemotherapy alone. (Funded by Bristol Myers Squibb; CheckMate 816 ClinicalTrials.gov number, NCT02998528.).",Forde PM; Spicer JD; Provencio M; Mitsudomi T; Awad MM; Wang C; Lu S; Felip E; Swanson SJ; Brahmer JR; Kerr K; Taube JM; Ciuleanu TE; Tanaka F; Saylors GB; Chen KN; Ito H; Liberman M; Martin C; Broderick S; Wang L; Cai J; Duong Q; Meadows-Shropshire S; Fiore J; Bhatia S; Girard N; CheckMate 816 Investigators,The New England journal of medicine,2025,https://pubmed.ncbi.nlm.nih.gov/40454642/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:40454642
PubMed/MEDLINE,40673096,40673096,PMC12261352,10.21037/tlcr-2024-1095,Monitoring pembrolizumab response in patients with metastatic non-small cell lung cancer using circulating tumour DNA and circulating tumour cells.,"Liquid biopsy, in the form of cell-free-DNA (cfDNA), circulating-tumour-DNA (ctDNA), and circulating tumour cells (CTCs) can be used to monitor the efficacy of systemic therapy. We investigated the predictive value of these markers in patients with advanced non-small cell lung cancer (aNSCLC) treated with pembrolizumab within a prospective phase-II maintenance study of pembrolizumab post-platinum-doublet-chemotherapy (NCT02705820). Plasma-derived cfDNA was evaluated in 125 patients' plasma samples at baseline (t0), after 3 weeks (t1), 6 weeks (t2) and 9 weeks (t3) from 46 individuals and analysed by next-generation sequencing to identify and quantify somatic mutations. CTCs were detected in peripheral blood mononuclear cells and characterised according to programme death-ligand 1 (PD-L1) and Ki67. Patients presenting cfDNA increase at t2 had shorter progression-free survival (PFS; 2.05 vs. 6.1 months, P=0.04) and overall survival (OS; 8.35 vs. 20.0 months, P=0.004) than those with decreased cfDNA. Somatic mutations were found in 58.14% of patients in TP53, EGFR, KRAS, ALK, PI3KCA and MAP2K1 genes. Patients with >50% decrease or clearance in ctDNA from baseline to early treatment had 3.34 times lower risk for progression and improved survival outcomes (P=0.03). A high Ki67 CTC-index negatively affected PFS [hazard ratio (HR) =10.13, P=0.03] and OS (HR =6.1, P=0.01). Combining ctDNA dynamics and Ki67 was superior to any single marker in identifying patients with disease progression, with a sensitivity of 88.2% at t0 and 70% at t2 and a false-positive rate of 30.4% at t0 and 11.1% at t2. Monitoring ctDNA mutation dynamics during early treatment could serve as a promising real-time predictor of response. Moreover, combining ctDNA-dynamics with Ki67 provides enhanced predictive accuracy for progression, supporting the importance of more holistic multifactorial analyses in the prediction of immunotherapy response in aNSCLC.",Kakouri AC; Spiliotaki M; Loizidou EM; Stylianou I; Papageorgiou E; Panayi CG; Constantinou AI; Charalambous H; Deltas C; Papagregoriou G,Translational lung cancer research,2025,https://pubmed.ncbi.nlm.nih.gov/40673096/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:40673096
PubMed/MEDLINE,40439479,40439479,PMC12406472,10.18632/oncotarget.28730,"Durable complete response in leptomeningeal disease of EGFR mutated non-small cell lung cancer to amivantamab, an EGFR-MET receptor bispecific antibody, after progressing on osimertinib.","Patients with NSCLC harboring uncommon EGFR mutations have limited therapeutic options and often poor outcomes, especially following progression on standard EGFR tyrosine kinase inhibitors (TKIs). Amivantamab, an anti-EGFR/MET bispecific antibody, shows efficacy in EGFR-mutated NSCLC, but its role in rare EGFR alterations and CNS involvement, including leptomeningeal disease (LMD), remains insufficiently characterized. We report a 67-year-old male with stage IVB NSCLC harboring EGFR G719A and A289V mutations who developed LMD while on osimertinib. After progression on immunotherapy and chemotherapy, amivantamab monotherapy was initiated. Treatment produced a durable response over 19 months, including a 32.2% reduction in tumor size at six weeks, and complete resolution of brain metastases and LMD by six months. Circulating tumor DNA analyses showed EGFR variant allele fractions decreasing from 25.6% to undetectable. This case challenges current paradigms, demonstrating that amivantamab monotherapy can effectively target rare EGFR mutations, achieve durable extracranial and CNS disease control, and potentially overcome blood-brain barrier limitations. These findings suggest that amivantamab's utility may extend beyond established combination regimens and well-characterized EGFR mutations, offering an effective option for patients with atypical molecular profiles who lack standard therapies. Amivantamab monotherapy may represent a viable strategy for patients with uncommon EGFR mutations and CNS involvement, including LMD. Further research is warranted to elucidate underlying mechanisms, refine treatment strategies, and assess amivantamab's broader applicability in similarly challenging NSCLC scenarios.",Kim J; Chung LI; Choi H; Choi Y; Chuchuca MJA; Oh Y; Chae YK,Oncotarget,2025,https://pubmed.ncbi.nlm.nih.gov/40439479/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:40439479
PubMed/MEDLINE,40469279,40469279,PMC12133817,10.3389/fimmu.2025.1595382,Updated overall survival data and predictive biomarkers of autologous NK cells plus Sintilimab as second-line treatment for advanced non-small cell lung cancer.,"Combination strategies involving immune checkpoint inhibitors (ICIs) have been a prominent focus of research in the treatment of non-small cell lung cancer (NSCLC). Our prior findings demonstrated that the combination of autologous NK cells with the PD-1 antibody (Sintilimab), offered promising efficacy in NSCLC patients who failed the first-line platinum-based chemotherapy. Here, we present updated overall survival (OS) data from the final analysis, aiming to identify patient subgroups that derive maximal benefit from this therapeutic approach. Twenty NSCLC patients without driver gene mutations were enrolled and treated with a combination of autologous NK cells and Sintilimab every three weeks. Multicolor immunofluorescence staining was applied to evaluate static markers within the tumor microenvironment. Concurrently, dynamic assessments were conducted using next-generation sequencing and monitoring of PD-1/PD-L1 expression on NK cells to identify patient populations with favorable prognoses. The median OS was 27.3 months (95% CI, 0.76 to 53.8), with six patients still alive at the follow-up cutoff. A significant correlation was observed between the CD56+PD-L1+ cellular phenotype and extended survival. Clearance of circulating tumor DNA (ctDNA) and an increased percentage of PD-L1+ NK cells following treatment was associated with significantly better survival outcomes. Notably, prolonged treatment exposure did not lead to increased toxicity. The combination of autologous NK cells with Sintilimab significantly enhances long-term survival in NSCLC patients without exacerbating adverse effects, presenting a promising strategy for future combination immunotherapy approaches in NSCLC treatment. https://www.clinicaltrials.gov/ct2/show/NCT03958097, identifier NCT03958097.",Jia L; Chen N; Chen X; Niu C; Liu Z; Ma K; Yang L; Zhao Y; Song W; Lu J; Chen C; Cong X; Wang X; Xu Y; Cui G; Liu Z; Chen R; Yin H; Zhang N; Cui J,Frontiers in immunology,2025,https://pubmed.ncbi.nlm.nih.gov/40469279/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:40469279
PubMed/MEDLINE,40034576,40034576,PMC11872569,10.1016/j.eclinm.2025.103099,"Ensartinib for advanced or metastatic non-small-cell lung cancer with MET exon 14 skipping mutations (EMBRACE): a multi-center, single-arm, phase 2 trial.","MET exon14 skipping mutations (METex14) is an established actionable driver oncogene of non-small-cell lung cancer (NSCLC). While ensartinib is a known second-generation tyrosine kinase inhibitor with primary activity against ALK translocation, it is also classified as a type Ia MET inhibitor. We have previously shown anti-tumor activity against METex14 positive NSCLC both in vivo and in vitro. The EMBRACE trial aims to evaluate the clinical efficacy and safety of ensartinib for treatment of METex14 positive NSCLC. This is a multicenter single arm phase II investigator-initiated study that enrolled METex14 positive lung cancer after failing first line chemotherapy and/or immunotherapy. Eligible patients received ensartinib 225 mg orally once daily in a continuous 28-day treatment cycle until disease progression, unacceptable side effect, or death. Primary endpoint was investigator-assessed objective response rate (ORR), and the secondary end point included disease control rate (DCR), progression-free survival (PFS), duration of response (DoR) and safety profiles. The study was registered with the Chinese Clinical Trial Registry (ChiCTR2100048767). From July 2021 to February 2024, a total of 31 patients were enrolled and received ensartinib. Median follow-up time of the 30 evaluable patients was 9.2 months (95% Confidence Interval [CI], 6.3-not estimable). The ORR was 53.3% (16/30; 95% CI, 35.5-71.2) and DCR was 86.7% (26/30; 95% CI, 74.5-98.8). Median PFS was 6.0 months (95% CI, 3.0-8.8) and median DoR was 7.9 months (95% CI, 4.8-8.7). Adverse events (AEs) were reported in 24 patients (80%), with 7 (23.3%) of grade 3. The most common AEs were rash (14/30, 46.7%), followed by anemia (7/30, 23.3%), increased ALT (7/30, 23.3%), increased AST (7/30, 23.3%), and pruritus (6/30, 20%). No serious adverse events or treatment-related deaths occurred. Importantly, the exploratory ctDNA analysis indicates that clearance of circulating tumor DNA (ctDNA) at four weeks treatment was associated with more favorable treatment outcomes comparing with patients having positive ctDNA. Ensartinib has a promising anti-tumor activity and manageable safety in previously treated patients with METex14 positive lung cancer. This work was supported by the National Natural Science Foundation of China [82370028, 82422001] and the CSCO-MET Aberrant Solid Tumor Research Grant [Y-2022METAZMS-0066].",Xia Y; Tian P; Zhou M; Zhao J; Jin Y; Guo Z; Li X; Lu W; Miao D; Lu Y; Xu W; Zhang Y; Le X; Li W,EClinicalMedicine,2025,https://pubmed.ncbi.nlm.nih.gov/40034576/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:40034576
PubMed/MEDLINE,39617650,39617650,,10.1016/j.cllc.2024.10.013,Brief Report: Methylation-Based ctDNA Serial Monitoring Correlates With Immunotherapy Response in NSCLC.,"Circulating tumor DNA (ctDNA) can reflect the genetic and epigenetic composition of malignancies and can serve as a noninvasive biomarker for cancer diagnostics and monitoring. This study aimed to evaluate the utility of a methylation-based ctDNA assay as a predictive tool in non-small cell lung cancer (NSCLC) anti-PD1 based immunotherapy monitoring. We evaluated a cohort of 20 patients with NSCLC treated with anti-PD1 based immunotherapy that had both baseline and follow-up blood draws as well as outcome data available. Tumor Methylation Scores (TMS) were measured with an amplicon-based, multiplexed cfDNA assay that utilizes quantitative counting templates (QCTs) in conjunction with next-generation sequencing to count the number of methylated molecules at more than 500 genomic locations that are hypermethylated in cancer tissue. The association between TMS and real-world progression-free survival (rwPFS) on therapy was conducted using Cox proportional hazards model and plotted using the Kaplan-Meier method. The change in TMS measured 4-10 weeks post-treatment initiation strongly correlated with immunotherapy response, as measured by rwPFS (P < 0.0001), compared to a weaker correlation of imaging RECIST v1.1 measurements with rwPFS (P = 0.55). Furthermore, TMS tracked with tumor burden on therapy in real-world cases. In this real-world dataset of NSCLC patients treated with anti-PD1 immunotherapy regimens, the TMS score measured within a 4-10 week window after treatment initiation can be predictive of response to therapy. Beyond this window, the TMS score can be associated with rwPFS and tumor dynamics. Early evidence suggests that changes in the methylation profile may be informative for monitoring occurrence of new somatic mutations. The cases presented demonstrate the application of using TMS for serial therapeutic response monitoring.",Hsiao A; Woodward B; Ye P; Varga MG; Altaie G; Lu K; Searle N; Viens R; Langpap S; Li Z; Palmer G; Husain H,Clinical lung cancer,2025,https://pubmed.ncbi.nlm.nih.gov/39617650/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:39617650
PubMed/MEDLINE,38763304,38763304,,10.1016/j.jtcvs.2024.05.006,Predicting therapeutic response to neoadjuvant immunotherapy based on an integration model in resectable stage IIIA (N2) non-small cell lung cancer.,"Accurately predicting response during neoadjuvant chemoimmunotherapy for resectable non-small cell lung cancer remains clinically challenging. In this study, we investigated the effectiveness of blood-based tumor mutational burden (bTMB) and a deep learning (DL) model in predicting major pathologic response (MPR) and survival from a phase 2 trial. Blood samples were prospectively collected from 45 patients with stage IIIA (N2) non-small cell lung cancer undergoing neoadjuvant chemoimmunotherapy. An integrated model, combining the computed tomography-based DL score, bTMB, and clinical factors, was developed to predict tumor response to neoadjuvant chemoimmunotherapy. At baseline, bTMB were detected in 77.8% (35 of 45) of patients. Baseline bTMB ≥11 mutations/megabase was associated with significantly greater MPR rates (77.8% vs 38.5%, P = .042), and longer disease-free survival (P = .043), but not overall survival (P = .131), compared with bTMB <11 mutations/megabase in 35 patients with bTMB available. The developed DL model achieved an area under the curve of 0.703 in all patients. Importantly, the predictive performance of the integrated model improved to an area under the curve of 0.820 when combining the DL score with bTMB and clinical factors. Baseline circulating tumor DNA (ctDNA) status was not associated with pathologic response and survival. Compared with ctDNA residual, ctDNA clearance before surgery was associated with significantly greater MPR rates (88.2% vs 11.1%, P < .001) and improved disease-free survival (P = .010). The integrated model shows promise as a predictor of tumor response to neoadjuvant chemoimmunotherapy. Serial ctDNA dynamics provide a reliable tool for monitoring tumor response.",Xu L; Si H; Zhuang F; Li C; Zhang L; Zhao Y; Chen T; Dong Y; Wang T; Hou L; Hu T; Sun T; She Y; Hu X; Xie D; Wu J; Wu C; Zhao D; Chen C,The Journal of thoracic and cardiovascular surgery,2025,https://pubmed.ncbi.nlm.nih.gov/38763304/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:38763304
